meter, pressure_hpa, bmp280_temp, CO2, O3
534.60, 946.77, 21.18, 767.00, 239.94
534.95, 946.73, 21.20, 776.00, 371.36
535.30, 946.69, 21.19, 767.00, 291.57
535.04, 946.72, 21.19, 752.00, 255.00
534.42, 946.79, 21.20, 767.00, 272.06
534.69, 946.76, 21.20, 769.00, 226.55
535.04, 946.72, 21.20, 769.00, 226.55
535.39, 946.68, 21.20, 767.00, 340.33
535.57, 946.66, 21.20, 764.00, 239.94
534.78, 946.75, 21.20, 767.00, 291.57
534.95, 946.73, 21.20, 771.00, 185.18
534.60, 946.77, 21.20, 769.00, 239.94
535.04, 946.72, 21.20, 776.00, 291.57
535.30, 946.69, 21.20, 767.00, 214.58
534.78, 946.75, 21.20, 769.00, 272.06
534.60, 946.77, 21.20, 771.00, 314.07
534.78, 946.75, 21.20, 764.00, 185.18
535.30, 946.69, 21.20, 783.00, 291.57
535.21, 946.70, 21.20, 755.00, 255.00
534.86, 946.74, 21.21, 767.00, 272.06
535.57, 946.66, 21.20, 776.00, 226.55
534.69, 946.76, 21.21, 767.00, 314.07
535.13, 946.71, 21.21, 767.00, 314.07
534.78, 946.75, 21.20, 769.00, 340.33
535.39, 946.68, 21.21, 767.00, 255.00
534.51, 946.78, 21.21, 764.00, 272.06
535.39, 946.68, 21.21, 755.00, 291.57
534.95, 946.73, 21.20, 767.00, 255.00
534.42, 946.79, 21.21, 781.00, 239.94
534.69, 946.76, 21.21, 769.00, 272.06
534.51, 946.78, 21.22, 776.00, 272.06
534.60, 946.77, 21.22, 762.00, 272.06
534.86, 946.74, 21.22, 767.00, 255.00
534.51, 946.78, 21.22, 769.00, 272.06
534.86, 946.74, 21.22, 762.00, 408.59
535.39, 946.68, 21.21, 771.00, 314.07
535.13, 946.71, 21.21, 764.00, 272.06
535.39, 946.68, 21.23, 769.00, 239.94
534.95, 946.73, 21.23, 771.00, 255.00
534.95, 946.73, 21.22, 767.00, 371.36
534.95, 946.73, 21.23, 771.00, 255.00
535.13, 946.71, 21.23, 771.00, 226.55
535.13, 946.71, 21.23, 774.00, 272.06
534.95, 946.73, 21.22, 764.00, 255.00
534.95, 946.73, 21.23, 769.00, 272.06
534.78, 946.75, 21.22, 776.00, 408.59
534.60, 946.77, 21.24, 762.00, 255.00
535.13, 946.71, 21.23, 776.00, 291.57
535.13, 946.71, 21.23, 764.00, 371.36
